Dataset/Scene,chess4,dvd,hand8,laptop8,tomato-mark8,avg
nerfie - SSIM,0.41355547308921814,0.7224128246307373,0.5957042574882507,0.5197793841362,0.6278340816497803,0.575857
nerfie - PSNR,17.36238670349121,19.50480842590332,18.953035354614258,18.2669734954834,20.594274520874023,18.936296
nerfie - LPIPS-vgg,0.45309117436408997,0.32277533411979675,0.38147929310798645,0.3113885819911957,0.3112240135669708,0.355992
Monst3R - SSIM,/,/,/,/,/,/
Monst3R - PSNR,/,/,/,/,/,/
Monst3R - LPIPS-vgg,/,/,/,/,/,/

nvidia - SSIM,0.3998112678527832,0.4332735538482666,0.5339287519454956,0.13011731207370758,0.5845618844032288,0.3678005635738373,0.2475648820400238,0.385294
nvidia - PSNR,17.09530258178711,19.361385345458984,5.534900665283203,11.757956504821777,5.853489875793457,3.339104175567627,4.408984661102295,9.621589
nvidia - LPIPS-vgg,0.39481955766677856,0.3572840392589569,0.6006573438644409,0.6576486825942993,0.5894678831100464,0.6573732495307922,0.6941044926643372,0.564479
Monst3R - SSIM,0.3196237087249756,0.2980671525001526,0.5339287519454956,0.18518489599227905,0.5845618844032288,/,/,0.384273
Monst3R - PSNR,4.939579963684082,4.382704734802246,5.534900665283203,4.052120208740234,5.853489875793457,/,/,4.952559
Monst3R - LPIPS-vgg,0.7089546918869019,0.6946555376052856,0.6006573438644409,0.7000806331634521,0.5894678831100464,/,/,0.658763
